Дата;Температура;Влажность
21.01 19:21:50;25.0;15.0
21.01 19:22:51;25.0;15.0
21.01 19:23:51;25.0;15.0
21.01 19:24:54;25.0;15.0
21.01 19:25:55;25.0;15.0
21.01 19:26:55;25.0;15.0
21.01 19:27:56;25.0;15.0
21.01 19:28:57;25.0;15.0
21.01 19:29:57;25.0;15.0
21.01 19:30:58;25.0;15.0
21.01 19:31:58;25.0;15.0
21.01 19:32:59;25.0;15.0
21.01 19:33:59;25.0;15.0
21.01 19:35:00;25.0;15.0
21.01 19:36:01;25.0;15.0
21.01 19:37:01;25.0;15.0
21.01 19:38:02;25.0;15.0
21.01 19:39:02;25.0;15.0
21.01 19:40:03;25.0;15.0
21.01 19:41:03;25.0;15.0
21.01 19:42:04;25.0;15.0
21.01 19:43:05;25.0;15.0
21.01 19:44:05;25.0;15.0
21.01 19:45:06;25.0;15.0
21.01 19:46:06;25.0;15.0
21.01 19:47:07;25.0;15.0
21.01 19:48:08;25.0;15.0
21.01 19:49:08;25.0;15.0
21.01 19:50:09;25.0;15.0
21.01 19:51:09;25.0;15.0
21.01 19:52:15;25.0;15.0
21.01 19:53:15;25.0;15.0
21.01 19:54:18;25.0;15.0
21.01 19:55:19;25.0;15.0
21.01 19:56:20;25.0;15.0
21.01 19:57:23;25.0;15.0
21.01 19:58:23;25.0;15.0
21.01 19:59:24;25.0;15.0
21.01 20:00:24;25.0;15.0
21.01 20:01:25;25.0;15.0
21.01 20:02:26;25.0;15.0
21.01 20:03:26;25.0;15.0
21.01 20:04:27;25.0;15.0
21.01 20:05:27;25.0;15.0
21.01 20:06:28;25.0;15.0
21.01 20:07:31;25.0;15.0
21.01 20:08:32;25.0;15.0
21.01 20:09:35;25.0;15.0
21.01 20:10:35;25.0;15.0
21.01 20:11:36;25.0;15.0
21.01 20:12:37;25.0;15.0
21.01 20:13:37;25.0;15.0
21.01 20:14:38;25.0;15.0
21.01 20:15:38;25.0;15.0
21.01 20:16:39;25.0;15.0
21.01 20:17:39;25.0;15.0
21.01 20:18:40;25.0;15.0
21.01 20:19:41;25.0;15.0
21.01 20:20:41;25.0;15.0
21.01 20:21:42;25.0;15.0
21.01 20:22:47;25.0;15.0
21.01 20:23:48;25.0;15.0
21.01 20:24:49;25.0;15.0
21.01 20:25:49;25.0;15.0
21.01 20:26:50;25.0;15.0
21.01 20:27:50;25.0;15.0
21.01 20:28:51;25.0;15.0
21.01 20:29:54;25.0;15.0
21.01 20:30:55;25.0;15.0
21.01 20:31:58;25.0;15.0
21.01 20:32:58;25.0;15.0
21.01 20:33:59;25.0;15.0
21.01 20:35:00;25.0;15.0
21.01 20:36:00;25.0;15.0
21.01 20:37:01;25.0;15.0
21.01 20:38:01;25.0;15.0
21.01 20:39:02;25.0;15.0
21.01 20:40:02;25.0;15.0
21.01 20:41:03;25.0;15.0
21.01 20:42:04;25.0;15.0
21.01 20:43:04;25.0;15.0
21.01 20:44:05;25.0;15.0
21.01 20:45:05;25.0;15.0
21.01 20:46:06;25.0;15.0
21.01 20:47:07;25.0;15.0
21.01 20:48:07;25.0;15.0
21.01 20:49:08;25.0;15.0
21.01 20:50:08;25.0;15.0
21.01 20:51:09;25.0;15.0
21.01 20:52:09;25.0;15.0
21.01 20:53:10;25.0;15.0
21.01 20:54:11;25.0;15.0
21.01 20:55:11;25.0;15.0
21.01 20:56:12;25.0;15.0
21.01 20:57:12;25.0;15.0
21.01 20:58:13;25.0;15.0
21.01 20:59:14;25.0;15.0
21.01 21:00:14;25.0;15.0
21.01 21:01:15;25.0;15.0
21.01 21:02:15;25.0;15.0
21.01 21:03:16;25.0;15.0
21.01 21:04:16;25.0;15.0
21.01 21:05:17;25.0;15.0
21.01 21:06:18;25.0;15.0
21.01 21:07:18;25.0;15.0
21.01 21:08:19;25.0;15.0
21.01 21:09:19;25.0;15.0
21.01 21:10:22;25.0;15.0
21.01 21:11:23;25.0;15.0
21.01 21:12:24;25.0;15.0
21.01 21:13:24;25.0;15.0
21.01 21:14:25;25.0;15.0
21.01 21:15:25;25.0;15.0
21.01 21:16:26;25.0;15.0
21.01 21:17:26;25.0;15.0
21.01 21:18:27;25.0;15.0
21.01 21:19:28;25.0;15.0
21.01 21:20:28;25.0;15.0
21.01 21:21:31;25.0;15.0
21.01 21:22:32;25.0;15.0
21.01 21:23:33;25.0;15.0
21.01 21:24:33;25.0;15.0
21.01 21:25:34;25.0;15.0
21.01 21:26:39;25.0;15.0
21.01 21:27:40;25.0;15.0
21.01 21:28:41;25.0;15.0
21.01 21:29:41;25.0;15.0
